	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC TP1 01	SCOC TP1 03	SCOC TP1 05	SCOC TP1 07	SCOC TP1 08	SCOC TP1 09	SCOC TP1 10	SCOC TP1 11	SCOC TP1 12	SCOC TP1 19	SCOC TP3 03	SCOC TP3 04	SCOC TP3 05	SCOC TP3 07	SCOC TP3 08	SCOC TP3 09	SCOC TP3 10	SCOC TP3 11	SCOC TP3 12	SCOC TP3 13	SCOC TP3 14	SCOC TP3 15	SCOC TP3 16	SCOC TP3 18	SCOC TP3 19	SCOC TP3 23	SCOC TP3 24	SCOC TP3 25	SCOC TP3 26	SCOC TP3 27	SCOC TP3 30	SCOC TP3 31	SCOC TP3 32	SCOC TP3 33	SCOC TP3 34	SCOC TP3 35	SCOC TP3 36	SCOC TP3 37	SCOC TP3 39	SCOC TP3 40	SCOC TP3 41	SCOC TP3 42	SCOC TP3 44	SCOC TP3 45	SCOC TP3 46	SCOC TP3 47	SCOC TP3 48	SCOC TP3 49	SCOC TP3 50	SCOC TP3 52	SCOC TP3 53	SCOC TP3 54	SCOC TP3 55	SCOC TP3 57	SCOC TP3 58	SCOC TP3 60	SCOC TP3 61	SCOC TP3 62	SCOC TP3 63	SCOC TP3 64	SCOC TP3 65	SCOC TP3 66	SCOC TP3 67	SCOC TP3 68	SCOC TP3 70	SCOC TP3 71
SCOC TP3 42	-0.012306	0.04507	0.04507	-0.080888	0.073758	0.144789	0.159821	-0.040994	0.131134	0.016382	0.04507	0.073758	0.217197	0.073758	0.217197	0.016382	-0.012306	0.188509	-0.012306	-0.012306	0.016382	-0.155746	0.016382	0.073758	0.131134	-0.039305	0.131134	0.02152	0.073758	0.016382	-0.069682	0.102446	0.04507	0.016382	0.016382	-0.155746	0.016382	-0.040994	0.102446	0.016382	0.042474	0.102446	0.052197	0.04507	0.016382	0.016382	0.02152	0.073758	0.052197	-0.09837	0.131134	0.131134																									
SCOC TP3 44	-0.040994	-0.012306	0.04507	0.144789	0.016382	0.144789	0.188509	-0.040994	0.073758	0.04507	0.016382	0.131134	0.073758	-0.040994	0.159821	0.04507	0.04507	0.102446	0.04507	0.04507	0.159821	0.016382	-0.069682	0.04507	0.159821	0.098904	-0.012306	0.052197	0.131134	0.04507	0.073758	0.131134	0.159821	0.04507	0.102446	0.131134	0.217197	0.217197	0.131134	0.102446	0.074384	0.102446	0.14423	0.188509	0.102446	0.073758	0.236263	0.102446	0.082875	0.073758	0.102446	0.159821	0.04507																								
SCOC TP3 45	0.016382	0.04507	0.159821	0.273747	-0.069682	0.08031	0.131134	-0.012306	0.016382	-0.069682	0.102446	0.04507	0.073758	0.04507	0.131134	0.073758	0.073758	0.102446	0.04507	0.04507	0.073758	0.102446	0.016382	0.073758	0.131134	0.098904	-0.040994	-0.039836	0.159821	0.04507	0.073758	-0.012306	0.131134	-0.012306	0.102446	0.073758	0.016382	0.073758	0.131134	0.131134	0.010564	0.245885	0.113553	0.159821	0.159821	-0.012306	0.113553	0.073758	0.052197	0.102446	0.073758	0.131134	0.073758	-0.040994																							
SCOC TP3 46	-0.064803	-0.108323	0.065756	-0.029734	-0.021283	-0.029734	0.022237	-0.064803	-0.064803	-0.108323	-0.021283	0.022237	0.065756	0.022237	0.022237	0.065756	-0.064803	-0.151842	-0.238882	0.022237	-0.108323	-0.021283	-0.021283	-0.064803	-0.064803	-0.12537	-0.108323	-0.108323	0.065756	-0.021283	-0.151842	0.022237	-0.021283	-0.064803	-0.064803	-0.021283	-0.064803	-0.151842	0.239835	-0.064803	-0.021283	0.109276	-0.021283	0.109276	-0.108323	-0.021283	0.109276	0.022237	-0.021283	-0.064803	0.065756	-0.021283	-0.064803	-0.021283	-0.064803																						
SCOC TP3 47	0.188509	0.073758	-0.012306	0.015831	0.131134	0.177028	0.217197	0.159821	0.159821	0.073758	0.102446	0.102446	0.102446	0.04507	0.131134	0.131134	0.016382	0.217197	0.102446	0.159821	0.188509	0.073758	0.073758	0.188509	0.159821	0.098904	0.159821	0.14423	0.245885	0.131134	0.016382	0.217197	0.04507	0.016382	0.04507	0.159821	0.360637	0.303261	0.073758	0.073758	0.010564	0.159821	0.113553	0.073758	0.188509	0.245885	0.266941	0.073758	0.113553	-0.069682	0.016382	0.073758	0.073758	0.102446	0.188509	0.022237																					
SCOC TP3 48	0.04507	0.131134	0.188509	0.177028	0.073758	0.241507	0.131134	0.073758	0.073758	0.073758	0.131134	0.073758	0.303261	0.245885	0.131134	0.159821	0.016382	0.073758	0.159821	0.188509	0.159821	0.102446	0.073758	0.131134	0.04507	0.191043	0.016382	0.113553	0.131134	0.016382	0.159821	0.159821	0.016382	0.102446	0.102446	0.016382	0.073758	0.073758	0.217197	0.102446	0.010564	0.217197	0.205585	0.016382	0.217197	0.073758	0.113553	-0.09837	0.236263	0.102446	0.217197	0.188509	-0.012306	0.131134	0.073758	0.022237	0.131134																				
SCOC TP3 49	-0.040994	0.016382	0.159821	0.177028	-0.012306	0.112549	0.131134	0.016382	-0.069682	-0.069682	0.073758	0.016382	0.102446	0.073758	0.131134	0.073758	-0.012306	0.04507	-0.040994	0.04507	0.073758	0.073758	0.04507	-0.069682	0.016382	0.283182	0.073758	0.02152	0.159821	-0.040994	0.131134	0.102446	0.102446	0.016382	0.102446	0.016382	0.073758	0.073758	0.131134	0.131134	0.010564	0.131134	0.113553	0.073758	0.073758	-0.012306	0.052197	0.073758	0.14423	0.102446	0.04507	0.131134	0.04507	0.016382	-0.09837	-0.108323	0.073758	-0.012306																			
SCOC TP3 50	0.102446	0.102446	0.131134	0.241507	0.04507	0.015831	0.102446	0.073758	0.016382	0.016382	0.073758	-0.012306	0.159821	0.102446	0.159821	0.04507	0.016382	-0.040994	0.016382	0.073758	0.016382	0.073758	0.016382	0.016382	0.073758	-0.039305	0.016382	-0.039836	0.159821	0.102446	0.04507	0.159821	-0.012306	0.04507	0.102446	0.016382	-0.012306	0.073758	0.073758	0.131134	0.042474	0.188509	0.02152	0.131134	0.131134	-0.040994	0.174908	0.159821	0.14423	0.073758	0.159821	0.102446	0.016382	0.073758	0.073758	-0.108323	0.102446	0.04507	0.073758																		
SCOC TP3 52	-0.069682	0.04507	0.102446	0.144789	0.016382	0.241507	0.073758	-0.09837	0.016382	-0.012306	0.159821	0.073758	0.131134	0.217197	0.159821	0.188509	0.016382	0.102446	0.016382	0.159821	0.131134	-0.012306	0.102446	0.073758	0.073758	0.052834	0.073758	-0.070513	0.131134	0.016382	0.073758	0.016382	0.159821	0.131134	0.131134	0.04507	0.159821	0.04507	0.188509	0.131134	0.010564	0.188509	0.14423	0.102446	0.159821	0.131134	0.052197	0.073758	0.082875	0.102446	0.102446	0.188509	0.04507	0.016382	0.04507	-0.064803	0.188509	0.016382	0.016382	0.102446																	
SCOC TP3 53	0.159821	0.102446	0.016382	0.144789	0.04507	0.08031	-0.040994	0.016382	0.016382	0.102446	0.016382	0.04507	0.188509	0.073758	0.188509	0.102446	-0.012306	0.131134	-0.012306	0.188509	0.04507	0.159821	0.04507	0.131134	0.016382	0.098904	0.04507	-0.039836	0.159821	0.102446	-0.012306	0.131134	0.102446	-0.012306	0.04507	0.131134	0.245885	0.159821	0.102446	0.073758	-0.053257	0.188509	-0.009158	0.016382	0.102446	0.131134	0.205585	0.159821	0.082875	0.102446	0.016382	0.016382	0.073758	0.016382	0.102446	-0.021283	0.016382	0.073758	0.016382	0.016382	0.04507																
