	052912TKLA	060512TKLC	060712TKLA	060712TKLF	060712TKLH	060712TKLJ	060812TKLA	061212TKLA	061412TKLA	061412TKLB	061512TKLB	061512TKLD	062612TKLC	062612TKLD	062712TKLA	062712TKLB	062712TKLC	062712TKLD	062712TKLE	062712TKLG	062712TKLH	062712TKLI	062812TKLC	071012TKLA	071112TKLA	071112TKLE	071212TKLA	072412TKLA	072512TKLB	CNHY TP1 02	CNHY TP1 03	CNHY TP1 04	CNHY TP1 05	CNHY TP1 06	CNHY TP1 07	CNHY TP1 08	CNHY TP1 09	CNHY TP1 10	CNHY TP1 11	CNHY TP1 12	CNHY TP1 13	CNHY TP1 14	CNHY TP1 15	CNHY TP1 16	CNHY TP1 17	CNHY TP3 01	CNHY TP3 02	CNHY TP3 05	CNHY TP3 07	CNHY TP3 10	CNHY TP3 12	CNHY TP3 13	CNHY TP3 15	CNHY TP3 16	CNHY TP3 17	CNHY TP3 18	CNHY TP3 20	CNHY TP3 21	CNHY TP3 23	CNHY TP3 25	CNHY TP3 26	CNHY TP3 28	CNHY TP3 30	CNHY TP3 31
CNHY TP3 16	0.081577	0.081577	0.215787	0.081577	0.081577	-0.052633	0.17491	0.215787	0.260524	0.17105	0.17105	0.081577	0.305261	0.439471	0.17105	0.394734	0.215787	0.081577	0.17105	0.215787	0.17105	0.260524	0.138355	0.260524	0.03684	0.126314	0.215787	0.295296	0.17105	0.305261	0.17105	0.484207	0.51302	0.394734	0.081577	0.17105	0.439471	0.528944	0.126314	0.260524	0.420332	0.905346	0.17105	-0.009156	0.260524	0.305261	0.305261	0.17105	0.305261	0.215787	0.215787	0.081577	0.17105											
CNHY TP3 17	0.305261	0.349997	0.260524	0.260524	0.126314	0.305261	0.052199	0.03684	0.17105	0.260524	-0.007897	0.349997	0.394734	0.394734	0.349997	0.081577	0.126314	0.394734	0.305261	0.126314	0.081577	0.573681	0.02229	0.081577	0.260524	0.349997	0.081577	-0.058169	0.03684	-0.007897	0.305261	-0.142107	-0.120118	0.439471	0.349997	0.305261	0.349997	0.17105	0.394734	0.260524	0.052199	0.249518	0.394734	0.113555	0.03684	0.349997	0.260524	-0.186843	-0.186843	0.081577	0.305261	0.215787	0.03684	0.394734										
CNHY TP3 18	0.081577	0.126314	-0.052633	0.126314	0.03684	0.17105	0.052199	0.081577	0.126314	0.17105	0.03684	-0.052633	0.215787	0.260524	0.081577	0.126314	0.17105	0.215787	0.215787	0.03684	0.081577	0.260524	0.138355	0.03684	0.03684	0.081577	0.081577	0.472029	-0.052633	0.17105	-0.052633	0.17105	0.386392	0.03684	0.081577	0.081577	0.215787	0.17105	0.260524	0.126314	0.236266	0.436897	0.126314	0.17491	0.081577	0.081577	0.126314	0.126314	0.126314	0.215787	0.126314	0.081577	0.03684	0.215787	0.260524									
CNHY TP3 20	0.051407	-0.086445	0.051407	0.32711	-0.086445	0.464962	-0.362149	0.189259	-0.224297	-0.086445	0.051407	0.051407	0.464962	-0.224297	0.189259	-0.086445	-0.086445	0.32711	-0.086445	-0.224297	-0.086445	0.878518	-0.114458	-0.086445	0.32711	0.051407	0.051407	0.271084	0.051407	0.051407	0.464962	0.051407	0.078313	0.464962	0.32711	0.32711	0.32711	0.051407	0.464962	0.051407	-0.086445	0.051407	0.464962	0.464962	0.051407	-0.086445	0.602814	0.051407	-0.086445	0.051407	0.32711	0.189259	0.051407	0.602814	0.051407	0.32711								
CNHY TP3 21	0.20693	0.20693	-0.058169	-0.058169	-0.234902	0.118564	0.030197	-0.058169	-0.058169	0.20693	-0.058169	0.295296	0.472029	0.295296	0.030197	-0.146535	-0.058169	0.295296	0.118564	0.030197	-0.058169	0.560395	-0.058169	0.030197	0.118564	0.20693	-0.146535	0.030197	0.030197	-0.146535	-0.058169	0.118564	-0.120118	0.030197	-0.058169	0.118564	0.295296	0.118564	0.118564	0.030197	0.030197	-0.035255	0.118564	-0.058169	-0.146535	0.20693	0.030197	0.030197	-0.058169	0.295296	-0.146535	0.20693	-0.058169	0.383662	0.118564	0.20693	0.078313							
CNHY TP3 23	0.126314	0.03684	0.03684	-0.007897	-0.007897	-0.007897	0.113555	0.081577	0.215787	0.215787	-0.007897	0.081577	0.215787	0.305261	0.126314	0.215787	0.126314	0.03684	0.17105	0.126314	-0.052633	0.260524	0.080322	0.03684	0.03684	0.17105	0.081577	0.20693	-0.09737	-0.007897	0.03684	0.260524	-0.120118	0.081577	0.03684	0.03684	0.17105	0.260524	0.126314	0.081577	0.17491	0.624277	0.03684	-0.009156	0.126314	0.260524	-0.052633	0.03684	0.081577	0.17105	-0.23158	0.081577	0.03684	0.081577	0.17105	0.081577	0.32711	-0.058169						
CNHY TP3 25	0.215787	0.126314	0.081577	0.215787	0.126314	0.17105	0.113555	0.215787	0.17105	0.260524	0.081577	-0.007897	0.17105	0.215787	0.215787	0.215787	0.126314	0.260524	0.215787	0.081577	0.17105	0.439471	0.254419	0.081577	0.126314	0.17105	0.03684	0.560395	-0.007897	0.17105	0.126314	0.215787	0.386392	0.126314	0.17105	0.305261	0.03684	0.126314	-0.007897	0.126314	0.17491	0.343208	-0.052633	0.17491	0.215787	0.126314	0.17105	0.081577	0.260524	0.081577	0.305261	0.215787	-0.007897	0.260524	0.305261	0.17105	-0.086445	0.295296	0.17105					
CNHY TP3 26	0.305261	0.305261	0.260524	0.215787	0.17105	0.260524	0.236266	0.215787	0.260524	0.305261	0.215787	0.081577	0.215787	0.439471	0.305261	0.260524	0.17105	0.349997	0.215787	0.260524	0.215787	0.484207	0.254419	0.17105	0.17105	0.17105	0.126314	0.472029	0.17105	0.126314	0.260524	0.349997	0.386392	0.260524	0.126314	0.215787	0.17105	0.17105	-0.007897	0.260524	-0.070512	0.249518	0.126314	0.17491	0.17105	0.260524	0.215787	0.081577	0.126314	-0.007897	0.260524	0.215787	-0.052633	0.305261	0.260524	0.215787	-0.086445	0.20693	0.260524	-0.09737				
CNHY TP3 28	0.081577	0.081577	0.081577	-0.052633	0.03684	-0.007897	0.052199	0.081577	0.081577	0.03684	0.03684	0.03684	0.17105	0.260524	0.126314	0.126314	0.03684	0.17105	-0.007897	0.081577	0.03684	0.439471	0.02229	0.03684	0.126314	0.126314	0.081577	0.030197	-0.007897	-0.09737	0.081577	0.081577	0.00651	0.03684	0.126314	-0.052633	-0.007897	0.126314	-0.052633	0.081577	-0.131867	0.249518	-0.052633	0.052199	0.03684	0.081577	-0.007897	-0.007897	0.126314	-0.09737	0.03684	0.126314	-0.052633	0.03684	0.17105	0.081577	-0.224297	0.030197	0.03684	-0.09737	-0.09737			
CNHY TP3 30	0.126314	0.081577	-0.052633	0.126314	0.081577	-0.007897	0.17491	0.305261	0.349997	0.305261	0.126314	-0.09737	0.305261	0.215787	0.03684	0.349997	0.081577	-0.052633	0.17105	0.17105	0.126314	-0.007897	0.080322	0.215787	-0.142107	-0.09737	0.081577	0.648761	0.081577	0.305261	0.17105	0.439471	0.639647	0.260524	-0.09737	0.260524	0.349997	0.305261	0.215787	0.126314	0.297621	0.717967	0.17105	0.17491	0.215787	0.17105	0.305261	0.17105	0.260524	0.215787	0.260524	-0.007897	0.126314	0.03684	0.349997	0.17105	0.32711	0.20693	0.126314	0.081577	0.126314	0.126314		
CNHY TP3 31	0.305261	0.215787	0.081577	-0.007897	0.03684	0.17105	0.17491	-0.09737	0.126314	0.215787	-0.007897	0.215787	0.215787	0.305261	0.260524	0.081577	-0.007897	0.349997	0.081577	0.126314	0.126314	0.573681	0.080322	-0.007897	0.260524	0.260524	0.03684	-0.058169	-0.007897	-0.052633	-0.052633	-0.007897	-0.246745	-0.09737	0.126314	-0.007897	-0.052633	0.03684	0.03684	0.126314	-0.315934	0.155828	-0.007897	-0.009156	-0.007897	0.215787	-0.09737	0.081577	0.17105	0.081577	-0.007897	0.215787	-0.007897	0.394734	0.215787	0.126314	-0.086445	-0.234902	-0.007897	0.03684	0.081577	-0.186843	0.349997	
